STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
"42","101","004002","2006","421010040022006",Block 2006,G5040,R,,,S,7369,0,"+39.9169470","-075.1672530"
"42","101","024600","3003","421010246003003",Block 3003,G5040,R,,,S,39768,0,"+40.0391374","-075.1752521"
"42","101","024600","3005","421010246003005",Block 3005,G5040,R,,,S,13960,0,"+40.0393497","-075.1734692"
"42","101","038900","2008","421010389002008",Block 2008,G5040,R,,,S,7656,0,"+40.0587631","-075.1697687"
"42","101","026400","3021","421010264003021",Block 3021,G5040,R,,,S,8952,0,"+40.0611856","-075.1670883"
"42","101","034400","1014","421010344001014",Block 1014,G5040,R,,,S,69386,0,"+40.0824625","-075.0488934"
"42","101","026400","3017","421010264003017",Block 3017,G5040,R,,,S,11440,0,"+40.0616294","-075.1640424"
"42","101","026400","2009","421010264002009",Block 2009,G5040,R,,,S,9336,0,"+40.0574206","-075.1610107"
"42","101","026400","2004","421010264002004",Block 2004,G5040,R,,,S,8385,0,"+40.0600102","-075.1611184"
"42","101","024900","4005","421010249004005",Block 4005,G5040,R,,,S,12356,0,"+40.0500605","-075.1626454"
"42","101","003300","3005","421010033003005",Block 3005,G5040,R,,,S,5436,0,"+39.9367794","-075.1929561"
"42","101","001302","4020","421010013024020",Block 4020,G5040,R,,,S,8423,0,"+39.9427269","-075.1861767"
"42","101","001201","1005","421010012011005",Block 1005,G5040,R,,,S,4136,0,"+39.9478509","-075.1819796"
"42","101","003300","4031","421010033004031",Block 4031,G5040,R,,,S,5873,0,"+39.9378998","-075.1894696"
"42","101","002000","2011","421010020002011",Block 2011,G5040,R,,,S,5842,0,"+39.9377008","-075.1879025"
"42","101","003200","4005","421010032004005",Block 4005,G5040,R,,,S,5570,0,"+39.9361765","-075.1882339"
"42","101","003300","4000","421010033004000",Block 4000,G5040,R,,,S,2497,0,"+39.9394608","-075.1886073"
"42","101","002000","2008","421010020002008",Block 2008,G5040,R,,,S,6902,0,"+39.9381230","-075.1878189"
"42","101","003200","4003","421010032004003",Block 4003,G5040,R,,,S,19033,0,"+39.9359682","-075.1866511"
